PLAY "Spielen"
A_SEX_ACT_BETWEEN "ein Geschlechtsakt zwischen {1} und {2}"

ATTACK_ACTION "Angreifen"
ATTACK_CREATURES_TASK "Jemanden angreifen"

ATTACKER_AFFECTED_BY "Angreifer betroffen von: {1}"

AUDIENCE_EFFECT_DESCRIPTION "Ruft alle Kämpfer herbei, die das Territorium verteidigen"
AUDIENCE_EFFECT_NAME "Audienz"

AUDIENCE_SUMMONED "Deine Audienz wurde einberufen, mein Herr."
"Deine Audienz wurde einberufen, meine Dame." : feminine

AUDIENCE_SUMMONED2 "Die Audienz wurde einberufen."

AUTOMATON_PART_EFFECT_DESCRIPTION "Fügt der Kreatur ein Automatenteil hinzu."
AUTOMATON_PART_EFFECT_NAME "Automatenteil hinzufügen"

AUTOMATONS "Automaten"

AVAILABLE_ITEMS_TITLE "Verfügbare Gegenstände:"
AVAILABLE_STEEDS "Verfügbare Reittiere ({1}):"

BACK_BODY_PART "Rücken"
"Rücken" : plural

BALSAMS_UPGRADE_HINT "Du kannst deine Untergebenen bei ihrer Erschaffung mit Balsamen verbessern, die du im Labor herstellst."

BANISH_EFFECT_DESCRIPTION "Die Kreatur wird ihr Dorf für immer verlassen."
BANISH_EFFECT_NAME "verbannen"

BASHES_FURNITURE "{1} zertrümmert {2}"

BECOMES "{1} wird zu {2}."

BED "Bett"
"Betten" : plural

BLEEDING_EFFECT_DESCRIPTION "Verursacht Blutung."
BLEEDING_EFFECT_NAME "Blutung"

BLOODY_WATER "blutiges Wasser"

BODIES_UPGRADE_TYPE "Körper"

BODY_PART_GROWS_BACK_HELPER "wächst nach"
"wachsen nach" : plural

BODY_PART_IS_IN_BETTER_SHAPE_HELPER "ist"
"sind" : plural

YOUR_BODY_PART_GROWS_BACK "Dein {1} {BODY_PART_GROWS_BACK_HELPER:1}!"
YOUR_BODY_PART_IS_IN_BETTER_SHAPE "Dein {1} {BODY_PART_IS_IN_BETTER_SHAPE_HELPER:1} in besserer Verfassung."

HIS_BODY_PART_GROWS_BACK "{1}s {2} {BODY_PART_GROWS_BACK_HELPER:2}!"
HIS_BODY_PART_IS_IN_BETTER_SHAPE "{1}s {2} {BODY_PART_IS_IN_BETTER_SHAPE_HELPER:2} in besserer Verfassung."

BODY_PART_NUMBER "{1} {2}"

BOILS_AND_EXPLODES "{1} kocht und explodiert!"

BOULDER "Felsbrocken"

BREACH_TRIGGER "Grenzverletzung"

BREAK_FREE "Du befreist dich."

ALL_BUFF_ADJECTIVES_HELPER "{1}"

BUFF_ADJECTIVE_AGGRAVATES "reizt Feinde"
BUFF_ADJECTIVE_ARCHER_VISION "kann durch Schießscharten sehen"
BUFF_ADJECTIVE_CAN_DANCE "kann die ganze Nacht tanzen"
BUFF_ADJECTIVE_CAPTURE_RESISTANCE "widerstandsfähig gegen Gefangennahme"
BUFF_ADJECTIVE_DARKNESS_SOURCE "Quelle der Dunkelheit"
BUFF_ADJECTIVE_DRUNK "betrunken"
BUFF_ADJECTIVE_ELF_VISION "kann durch Bäume sehen"
BUFF_ADJECTIVE_ENTERTAINER "Unterhalter"
BUFF_ADJECTIVE_FAST_CRAFTING "schneller Handwerker"
BUFF_ADJECTIVE_FAST_TRAINING "trainiert schnell"
BUFF_ADJECTIVE_FLYING "fliegend"
BUFF_ADJECTIVE_HALLU "halluzinierend"
BUFF_ADJECTIVE_INVISIBLE "unsichtbar"
BUFF_ADJECTIVE_LIFE_SAVED "Leben wird gerettet"
BUFF_ADJECTIVE_LIGHT_SOURCE "Lichtquelle"
BUFF_ADJECTIVE_LOCKED_POSITION "Position fixiert"
BUFF_ADJECTIVE_NIGHT_VISION "kann im Dunkeln sehen"
BUFF_ADJECTIVE_NO_CARRY_LIMIT "unbegrenzte Tragfähigkeit"
BUFF_ADJECTIVE_NO_FRIENDLY_FIRE "kein freundliches Feuer"
BUFF_ADJECTIVE_PLAGUE_RESISTANT "pestresistent"
BUFF_ADJECTIVE_POISON_RESISTANT "giftresistent"
BUFF_ADJECTIVE_POLYMORPHED "verwandelt"
BUFF_ADJECTIVE_PREGNANT "schwanger"
BUFF_ADJECTIVE_PSYCHIATRY "Psychiater"
BUFF_ADJECTIVE_RAGE "wütend"
BUFF_ADJECTIVE_RESTED "ausgeruht"
BUFF_ADJECTIVE_RIDER "Reiter"
BUFF_ADJECTIVE_SATIATED "gesättigt"
BUFF_ADJECTIVE_PLAGUE "mit Pest infiziert"
BUFF_ADJECTIVE_POISON "vergiftet"
BUFF_ADJECTIVE_SLEEP "schlafend"
BUFF_ADJECTIVE_SLEEP_RESISTANT "schlagresistent"
BUFF_ADJECTIVE_SPEED "Geschwindigkeitsbonus"
BUFF_ADJECTIVE_SPYING "Spion"
BUFF_ADJECTIVE_STEED "Reittier"
BUFF_ADJECTIVE_SWARMER "Schwärmer"
BUFF_ADJECTIVE_TELEPATHY "telepathisch"
BUFF_ADJECTIVE_WARNING "gefahrenbewusst"
BUFF_ADJECTIVE_PANIC "in Panik"
BUFF_ADJECTIVE_PEACEFULNESS "friedlich"
BUFF_ADJECTIVE_ENTANGLED "verstrickt"
BUFF_ADJECTIVE_TIED_UP "gefesselt"
BUFF_ADJECTIVE_IMMOBILE "unbeweglich"
BUFF_ADJECTIVE_SLOWED "verlangsamt"
BUFF_ADJECTIVE_INSANITY "verrückt"
BUFF_ADJECTIVE_BLIND "blind"
BUFF_ADJECTIVE_STUNNED "bewusstlos"
BUFF_ADJECTIVE_COLLAPSED "kriechend"
BUFF_ADJECTIVE_SUNLIGHT_VULNERABLE "anfällig für Sonnenlicht"
BUFF_ADJECTIVE_SUMMONED "beschworen"
BUFF_ADJECTIVE_SLOW_CRAFTING "langsamer Handwerker"
BUFF_ADJECTIVE_SLOW_TRAINING "trainiert langsam"
BUFF_ADJECTIVE_BAD_BREATH "übelriechender Atem"
BUFF_ADJECTIVE_ON_FIRE "in Flammen"
BUFF_ADJECTIVE_FROZEN "gefroren"
BUFF_ADJECTIVE_MAGIC_CANCELLATION "aufgehoben"
BUFF_ADJECTIVE_DISAPPEAR_DURING_DAY "verschwindet bei Tagesanbruch"
BUFF_ADJECTIVE_UNSTABLE "mental instabil"
BUFF_ADJECTIVE_OIL "mit Öl bedeckt"
BUFF_ADJECTIVE_TURNED_OFF "ausgeschaltet"

BUILD_FURNITURE_TASK "{1} in {2} bauen"
BUILD_MORGUE_HINT "Baue einen Leichentisch, um Untote zu erschaffen."

BURNED_DEATH_REASON "zu Tode verbrannt"
BURNS_IN "{1} verbrennt in {2}"

BUTCHER_TITLE "der Schlächter von {1}"

CAGE "Käfig"
"Käfige" : plural

CAMPAIGN_DIFFICULTY "Schwierigkeit"
CAMPAIGN_HELP_BUTTON "Hilfe"
CAMPAIGN_VILLAIN_DEFEATED "Besiegt"
CAMPAIGN_VILLAIN_EXP "Erfahrung: {1}"
CAMPAIGN_WORLD_NAME "Weltname: {1}"

CAMP_AND_SPAWN_TASK "Lagern und spawnen"

CANCEL_CAPTURE_ORDER_ACTION "Gefangennahmebefehl abbrechen"

CAN_ENTER_POSITION "kann Position einnehmen"

CAN_NOT_AFFORD_ITEM "Du kannst dir den Gegenstand nicht leisten."
CANNOT_AFFORD_ITEM "Du kannst dir den Gegenstand nicht leisten"

CAN_SEE_IN_THE_DARK "{1} kann im Dunkeln sehen."
CAN_SEE_THRU_ARROWSLITS "{1} kann durch Schießscharten sehen und schießen."
CAN_SEE_THRU_TREES "{1} kann durch Bäume sehen."

CANT_MOVE_ANYMORE "{1} kann sich nicht mehr bewegen."

CASTS_SPELL "{1} wirkt einen Zauber"

CHANCE_EFFECT_DESCRIPTION "{1} ({2}% Wahrscheinlichkeit)"

CHANCE_OF_PRISONER_ESCAPE "Wahrscheinlichkeit der Flucht des Gefangenen: "

GRANT_ABILITY_EFFECT_DESCRIPTION "Verleiht Fähigkeit"
GRANT_ABILITY_EFFECT_NAME "Fähigkeit verleihen"

CHANGE_NAME_EFFECT_DESCRIPTION "Ändert den Namen der Kreatur zu "{1}""
CHANGE_NAME_EFFECT_NAME "Namen ändern"

CHANGE_SPRITE_EFFECT_DESCRIPTION "Ändert das Sprite der Kreatur"
CHANGE_SPRITE_EFFECT_NAME "Sprite festlegen"

CHAT_ACTION "Sprechen"

CIVILIAN_STATUS "Zivilist"

CLAIM_TILE_EFFECT_DESCRIPTION "Fordert das Feld als Territorium des Spielers"
CLAIM_TILE_EFFECT_NAME "Feld beanspruchen"

CLICK_TO "Klicke, um {1}"

CLOSE_BUTTON "Schließen"

COFFIN "Sarg"
"Särge" : plural

COLLAPSES "{1} bricht zusammen."

COLOR_VARIANT_EFFECT_DESCRIPTION "Ändert die Farbvariante einer Kreatur"
COLOR_VARIANT_EFFECT_NAME "Farbwechsel"

COMMA "{1}, {2}"

COMMANDS_BUTTON "Befehle"

CONFIRM_BANISH "Möchtest du {1} für immer verbannen? Verbannen wirkt sich negativ auf die Moral anderer Untergebener aus."
CONFIRM_BUTTON "Bestätigen"
CONFIRM_DISASSEMBLE "Möchtest du {1} zerlegen?"
CONFIRM_NO_RETIRED_DUNGEONS "Die Wichtel werden traurig sein, wenn du keine ausgemusterten Verliese hinzufügst. Fortfahren?"

CONSUMABLES_LABEL "Verbrauchsgüter"

CONSUME_ITEM_TASK "Gegenstand verbrauchen"

YOU_ABSORB "Du absorbierst {1}."
ABSORBS "{1} absorbiert {2}."

CONTINUE_BUTTON "Weiter"

CONTROL_MINION_BUTTON "Steuern"

COPULATE_TASK "Mit {1} kopulieren"
YOU_COPULATE "Du kopulierst mit {1}."
COPULATES "{1} kopuliert mit {2}."

COPY_SETTING_TO_GROUP "Einstellung auf alle {1} kopieren"

CORPSE_ITEM "Leiche von {1}"

CRAFTED_FROM "Hergestellt aus {1}"
CRAFTED_ITEMS_LABEL "Hergestellte Gegenstände"
CRAFTING_UPDATE_FOR "Handwerksverbesserung für {1}:"

IS_CRAWLING "{1} kriecht."
YOU_CRAWLING "Du kriechst."

CREATE_FURNITURE_DESCRIPTION "Erschafft ein/e/n {1}"
CREATE_ITEMS_DESCRIPTION "Erschafft Gegenstände"
CREATE_ITEMS_NAME "Gegenstände erschaffen"

CREATURE_REQUIRES_QUARTERS "Die Kreatur benötigt persönliche Gemächer, um von Kampferfahrung zu profitieren."
CREATURE_REQUIRES_QUARTERS_WITH_LUXURY "Die Kreatur benötigt persönliche Gemächer mit {1} Luxuseinheiten."

CREATURES_AFFECTED_BY "betroffen von {1}"
CREATURES_EXP_LEVEL_BELOW "mit Erfahrungsstufe unter {1}"
CREATURES_HOLDING_INGREDIENT "die {1} halten"
CREATURES_MADE_OF_MATERIAL "hergestellt aus {1}"
CREATURES_WITH_HEALTH_BETWEEN "mit Gesundheit zwischen {1} und {2}"

CREATURE_TITLE "{1} der/die {2}"

CURRENTLY_NOT_RIDING_STEED "Reitet derzeit nicht."
CURRENTLY_RIDING_STEED "Reitet derzeit."

CUTS_FURNITURE "{1} schneidet {2}."

DANCE_TASK "Tanzen"

DEATH "Tod"

DEBT_BUTTON "Schulden"

DEMAND_GOLD "{1} fordert {2} Gold, um nicht anzugreifen. Akzeptieren?"

DEPICTS "Stellt {1} dar"

DESCRIPTION_EFFECT_NAME "Beschreibungseffekt"

DESTROY_EQUIPMENT_EFFECT_DESCRIPTION "Zerstört ein zufälliges Ausrüstungsteil."
DESTROY_EQUIPMENT_EFFECT_NAME "Ausrüstungszerstörung"

DESTROYS_FURNITURE "{1} zerstört {2}"

DESTROY_WALLS_EFFECT_DESCRIPTION "Zerstört Terrain und Gegenstände."
DESTROY_WALLS_EFFECT_NAME "Zerstörung"

DEVELOPS_ATTACK "{1} entwickelt einen {2}-Angriff."

DIES_OF "{1} stirbt an {2}."
DIES_OF_POISONING "{1} stirbt an Vergiftung."

DIGGING_TASK_HIGHLIGHT "Grabungsaufgabe"

DIGS_INTO_FURNITURE "{1} gräbt in {2}."

DISAPPEARS "{1} verschwindet!"

DISAPPEAR_TASK "Verschwinden"

DISARMS "{1} entwaffnet {2}."
YOU_DISARM "Du entwaffnest {1}."

DISASSEMBLE_MINION_BUTTON "Zerlegen"
DISASSEMBLES "{1} zerlegt {2}"
DISASSEMBLE_TASK "{1} zerlegen"

DISMISS_AND_DONT_ASK_AGAIN "Verwerfen und nicht mehr fragen"
DISMISS_FOR_200_TURNS "Für 200 Züge verwerfen"

DISMOUNT_BUTTON "Absteigen"

DOES_NOT_TRIGGER_ENEMIES "Reizt Feinde nicht beim Angreifen"

DONT_CHASE_TEAM_ORDER_DESCRIPTION "Teammitglieder bewegen sich nicht auf Feinde zu und kämpfen nur gegen angrenzende."
DONT_CHASE_TEAM_ORDER " Nicht verfolgen "

DOUBLE_TROUBLE_EFFECT_DESCRIPTION "Erschafft einen Zwillingsverbündeten."
DOUBLE_TROUBLE_EFFECT_NAME "Doppelproblem"

DROP_ITEMS_ANYWHERE_TASK "Gegenstände überall fallen lassen"
DROP_ITEMS_TASK "Gegenstände fallen lassen"

DROWNED_DEATH_REASON "ertrunken"
DROWNS_IN "{1} ertrinkt in {2}."

DUEL_TASK "Duellaufgabe: {1}"

DUNGEON_CONQUER_RATE "Eroberungsrate: {1}/{2}"
DUNGEON_CONQUER_RATE_TIP "Anzahl, wie oft dieses Verlies erobert wurde, im Verhältnis dazu, wie oft es geladen wurde."
DUNGEON_MODS_TIP "Diese Mods könnten erforderlich sein, um dieses Verlies zu laden:"

DURING_CERTAIN_TIME_OF_DAY "zu einer bestimmten Tageszeit"
DURING_THE_DAY "während des Tages"

EAT_TASK "Essen"

EFFECT_WHEN_EQUIPED "Effekt beim Ausrüsten: {1}"

EIGHT "acht"
ELEVEN "elf"

ENEMIES "Feinde"

ENTER_A_NAME_FOR "Gib einen Namen ein für {1}"
ENTER_FIRST_NAME "Gib den Vornamen ein:"
ENTER_MESSAGE "Nachricht eingeben"
ENTER_PORTAL "Du betrittst {1}."
ENTER_SETTLEMENT_NAME "Gib den Namen der Siedlung ein:"

EQUIP_ITEM_TASK "{1} ausrüsten"

EQUIPMENT_STORAGE_HIGHLIGHT "Ausrüstungslager"

ERROR_DOWNLOADING_FILE "Fehler beim Herunterladen der Datei"
ERROR "Fehler"
ERROR_SENDING_BUG_REPORT "Beim Senden des Fehlerberichts ist ein Fehler aufgetreten: {1}"
ERROR_UPLOADING_FILE "Fehler beim Hochladen der Datei"
ERROR_UPLOADING_MOD "Fehler beim Hochladen des Mods:"

ESCAPE_EFFECT_DESCRIPTION "Teleportiert an einen sichereren Ort in der Nähe."
ESCAPE_EFFECT_NAME "Flucht"

EXCEEDS_POP_LIMIT "Überschreitet das Bevölkerungslimit"

EXECUTES "{1} exekutiert {2}"

EXIT_CONTROL_MODE "Steuerungsmodus verlassen"

EXTRA_BODY_PART "Extra-Körperteil: {1}"
EXTRA_BODY_PARTS "Extra {1} {2}"

EXTRA_TRAINING_POTENTIAL "Zusätzliches Trainingspotenzial für {1}"

FAILED_TO_LOAD_SAVE "Spielstand konnte nicht geladen werden :("
FAILED_TO_LOAD_TUTORIAL "Tutorial konnte nicht geladen werden :("

FALLS_APART "{1} zerfällt."

FASTER "schnellere Bewegung"

FEELS_LIKE_DOING_SOME_WORK "{1} hat Lust zu arbeiten."
FEELS_LAZY "{1} fühlt sich faul."
FEELS_LIKE_WORKING_OUT "{1} hat Lust zu trainieren."

FETCHING_ITEMS_HIGHLIGHT "Gegenstände holen"

FIGHTER_STATUS_DESCRIPTION "Muss besiegt werden, um den Stamm zu erobern"
FIGHTER_STATUS "Kämpfer"

FILLS_FURNITURE "{1} füllt {2}."

FINISHING_YOU_TRIGGER "Dir den Gnadenstoß geben"

FIRE_SCROLL_DESCRIPTION "Setzt sich selbst in Brand."

FIVE "fünf"

FLANKED_HINT "Flankiert: Verteidigung um {1}% reduziert."

RESOURCE_DOUBLE_CLICK_HINT "Doppelklick, um die gesamte Ressourcenlagerstätte auszuwählen."

FORBIDDEN_ZONE_HIGHLIGHT "Verbotszone"

FOUR "vier"

FREEZES_AND_EXPLODES "{1} gefriert und explodiert!"

FULLY_HEALED "vollständig geheilt"

FURNITURE_BANG "PENG!"
FURNITURE_BURNS_DOWN "{1} brennt vollständig nieder."
FURNITURE_CATCHES_FIRE "{1} fängt Feuer."
FURNITURE_CRASH "KRACH!"
FURNITURE_DISSOLVES "{1} löst sich auf."
FURNITURE_FALLS "{1} fällt um."
FURNITURE_FREEZES "{1} gefriert."
FURNITURE "Möbelstück"
FURNITURE_IS_DESTROYED "{1} wird zerstört."
FURNITURE_IS_DUG_OUT "{1} wird ausgegraben."
FURNITURE_IS_FILLED "{1} wird befüllt."
FURNITURE_MELTS "{1} schmilzt."
FURNITURE_STOPS_BURNING "{1} hört auf zu brennen."

GAME_OVER "Spiel vorbei"

GAME_STATS_QUESTION "Das Spiel möchte während des Spielens Statistiken sammeln und anonym an den Entwickler senden. Akzeptierst du das?"

GAS_RELEASED "Eine Wolke aus {1} wird freigesetzt."
GAS_RELEASED_UNSEEN "Du hörst ein Zischen."

GHOST "Geist"

GIVE_GOLD_TO "{1} {2} Gold geben?"
GIVE_HOW_MANY "Wie viele {1} geben?"
BUY_HOW_MANY "Wie viele {1} kaufen?"
GIVE_ITEM_TO "{1} an {2} geben?"
GIVE_WHOM "Wem geben?"

GLYPH_LABEL "[{1}]"

GO_BACK_BUTTON "Zurück"

GRANTS_ABILITY "Verleiht Fähigkeit: {1}"
GRANTS_BUFF "verleiht {1}"

GROUP_JOINS_YOUR_FORCES "Ein/e {1} aus {2} {3} schließt sich deinen Kräften an."

GROWS_LIMB "{1} lässt {2} wachsen."
GROWS_LIMBS "{1} lässt {2} wachsen."

GUARD_ZONE1_HIGHLIGHT "Wachzone 1"
GUARD_ZONE2_HIGHLIGHT "Wachzone 2"
GUARD_ZONE3_HIGHLIGHT "Wachzone 3"

HAS_BEEN_CAPTURED_BY_ENEMY "{1} wurde vom Feind gefangen genommen."
HAS_GONE_BERSERK "ist durchgedreht!"

HAS_REVIVED "{1} hat {2} wiederbelebt."
YOU_HAVE_REVIVED "Du hast {1} wiederbelebt."

HAS_SUMMONED_DEMON "{1} hat einen freundlichen Dämon beschworen."

HAVE_GONE_BERSERK "Du bist in Raserei geraten."

HEALING_EFFECT_DESCRIPTION "Stellt die Gesundheit vollständig wieder her."
HEALING_EFFECT_NAME "Heilung"

HIDDEN "versteckt"

HIS_BODY_CRUMBLES_TO_DUST "{1}s Körper zerfällt zu Staub."
HIS_BODY_PART_IS_BITTEN_OFF "{1} wird {2} abgebissen!"
HIS_BODY_PART_IS_BROKEN "{1}s {2} ist gebrochen."
HIS_BODY_PART_IS_CHOPPED_OFF "{1}s {2} wird abgehackt."
HIS_BODY_PART_IS_CRUSHED "{1}s {2} wird zermalmt."
HIS_BODY_PART_IS "{1} hat sein/ihr {2} {3}."
HIS_BODY_PART_IS_RIPPED_TO_PIECES "{1}s {2} wird in Stücke gerissen."

HIS_IDENTITY_IS_UNCOVERED "{1}s Identität wird aufgedeckt."
HIS_LIFE_WILL_NO_LONGER_BE_SAVED "{1}s Leben wird nicht länger gerettet werden."
HIS_SKULL_IS_SHATTERED "{1}s Schädel wird zertrümmert."
HIS_STOMACH_RECEIVES_A_DEADLY_BLOW "{1}s Magen erhält einen tödlichen Schlag."

HOME_MAP_BIOME "Biom der Startkarte: {1}"

HOSTILE_MAGICAL_FIELD_HIGHLIGHT "Feindliches magisches Feld"

HUMANOID "ein Humanoider"

IDLE_TASK "Leerlauf"

ILLUSION "Illusion"

IMMEDIATE_TRIGGER "Sofort"

IMMIGRANT_ATTR_BONUS "{1} {2}"
IMMIGRANT_AUTO_ACCEPTED "(Der Einwanderer wird automatisch akzeptiert)"
IMMIGRANT_AUTO_REJECTED "(Der Einwanderer wird automatisch abgelehnt)"
IMMIGRANT_COMPANION "Begleiter {1}"
IMMIGRANT_TURNS_LEFT "Verbleibende Züge: {1}"
IMMIGRANT_WONT_JOIN_DURING "Der Einwanderer wird sich während {1} nicht anschließen."

IMPORTANT_TITLE "Wichtig!"

IMPROVES "{1} verbessert {2} {3} von {4}"

INCLUDE_SAVE_FILE "Spielstand einbeziehen"
INCLUDE_SCREENSHOT "Bildschirmfoto einbeziehen"


INCREASE_DAMAGE_OR_DEFENSE_BY_ONE "Erhöht Schaden oder Verteidigung um 1"

IN_GAS "in {1}"
INGREDIENT_ON_THE_GROUND "auf dem Boden {1}"
INJURED_BODY_PART "verletzte/r {1}"
INSIDE_AN_ANIMAL_PEN "innerhalb eines Tierstalls"

INSUFFICIENT_LIGHT_HIGHLIGHT "Unzureichendes Licht"

IN_TERRITORY "im Territorium"

INTRINSIC_ATTACK_INACTIVE "Inaktiv"

IS_AWARE_OF_DANGER "{1} ist sich der Gefahr bewusst."
IS_BITTEN_IN_THE_NECK "{1} wird in den Hals gebissen!"
IS_BURNING "{1} brennt."
IS_BURNT_BY_THE_SUN "{1} verbrennt in der Sonne."
IS_CONVERTED "{1} wechselt auf deine Seite."
IS_CRITICALLY_WOUNDED "{1} ist schwer verletzt."
IS_CUT_IN_HALF "{1} wird entzweigeschnitten."
IS_DESTROYED_BY "{1} wird von {2} zerstört."
IS_FLYING "{1} fliegt."
IS_MOVING_FASTER_AGAIN "{1} bewegt sich wieder schneller."
IS_MOVING_SLOW_AGAIN "{1} bewegt sich wieder langsamer."
IS_NO_LONGER_BLIND "{1} ist nicht länger blind."
IS_NO_LONGER_FUNNY "{1} ist nicht länger lustig."
IS_NO_LONGER_HALLU "{1} halluziniert nicht länger."
IS_NO_LONGER_PLAGUE_RESISTANT "{1} ist nicht länger pestresistent."
IS_NO_LONGER_POISON_RESISTANT "{1} ist nicht länger giftresistent."

LESS_UNDERSTANDING "weniger Verständnis"
MORE_UNDERSTANDING "mehr Verständnis"

IS_NO_LONGER_RESTED "{1} ist nicht länger ausgeruht."
IS_NO_LONGER_SATIATED "{1} ist nicht länger gesättigt."
IS_NO_LONGER_SLEEP_RESISTANT "{1} ist nicht länger schlafresistent."
IS_NO_LONGER_SWARMER "{1} ist nicht länger ein Schwärmer."
IS_NO_LONGER_VULNERABLE_TO_SUNLIGHT "{1} ist nicht länger anfällig für Sonnenlicht."

IS_NOT_HURT "{1} ist nicht verletzt."
IS_RIPPED_TO_PIECES "{1} wird in Stücke gerissen."
IS_SHOT_IN_THE "{1} wird in {2} geschossen."
IS_STABBED_IN_THE "{1} wird in {2} gestochen."
IS_TURNED_OFF "{1} ist ausgeschaltet."
IS_TURNED_ON "{1} ist eingeschaltet."
IS_UNABLE_TO_CAST_SPELLS "{1} kann keine Zauber wirken."
IS_UNCONCIOUS "{1} ist bewusstlos."
IS_WOUNDED "{1} ist verletzt."

ITEM_COUNT "{2} {1}"

ITEM_CRASHES_ON_THE "{2} fällt auf {1}"
ITEMS_CRASH_ON_THE "{2} fallen auf {1}"
ITEM_CRASHES_ON "{2} fällt auf {1}"
ITEMS_CRASH_ON "{2} fallen auf {1}"
ITEM_CRASHES_ON_YOU "{1} fällt auf dich."

ITEM_HITS_THE "{2} trifft {1}"
ITEMS_HIT_THE "{2} treffen {1}"
ITEM_HITS_YOU "{1} trifft dich."

